rho0,rho03
127.682391617892,129.514799167489
128.764022259917,130.637682685752
128.249297877032,130.112026436343
128.848927245945,130.567816423571
133.428164084766,135.121387610904
126.162863408588,128.180845311342
129.068148239043,130.858161425983
128.366935589876,130.029412025163
131.964460168364,133.956477826552
123.67247333323,125.750864996278
124.558431958777,126.509072969592
126.150174053288,128.011617060533
129.254622871904,131.011004022745
125.101383773087,127.118044055298
114.783975259389,117.438952938453
125.555128180295,127.553045238237
123.849442163919,126.027301729023
131.15257767848,132.825256321341
127.316747990164,129.334912921547
119.518337211771,121.873498042547
123.916859202908,125.977255592101
126.958434086362,128.888378388469
126.449173761303,128.439455296314
122.684321842435,124.676712863824
122.483855463281,124.615799509046
120.128017943023,122.286313917082
127.330434414074,129.314009193031
124.463961117405,126.619798808018
123.247804217157,125.320066264868
119.754136233741,122.190064423514
121.371371308542,123.846215070228
118.940128928251,121.327550732529
124.816786468906,126.818939865113
128.521620052706,130.32541752365
131.684444073002,133.372371689579
120.055075057657,122.464910187079
124.901634834176,126.88528910874
124.236076271047,126.238144015452
126.021725242617,127.94436239443
125.562011678047,127.506600599432
116.00076394632,118.496174753118
121.829482822879,123.867585711394
117.327074827516,119.499933406671
124.638057588087,126.5859485405
118.460093492001,121.087515645356
125.04472707978,127.097331337365
122.742373254119,124.76354626376
127.208910883405,129.113578307497
129.713299958669,131.481471926023
127.334945168518,129.20757060247
127.661866429711,129.453714088143
115.682259651607,118.143614706778
119.010632161677,121.481217247904
120.819588501116,122.973450337
113.933420461431,116.494353082945
125.039470489743,126.996152743326
122.843391255332,125.023530011208
126.451313027545,128.38113392222
124.762748921413,126.816136285814
124.099607757008,126.215924130428
114.794958631539,117.445943379293
119.436101109868,121.524436871354
127.330982407147,129.213440128521
124.494008699984,126.457098122819
119.063500332654,121.331301431957
118.784632658463,121.249966412555
126.258159756869,128.20565124061
119.098216574472,121.353903170217
128.530444004813,130.357427362936
127.952738752034,129.698481096028
120.646716374921,122.972892084274
116.808148652868,119.288103599483
128.387039882686,130.108170828475
117.720534325111,120.229369702242
121.049543564015,123.348660685687
126.612602527263,128.588990472953
116.515840162102,119.136697642049
127.783203592153,129.676641407708
119.516221062899,121.806470367852
118.570835677374,120.862400993424
115.91899462208,118.645516047468
122.033647423036,124.142950697697
119.588060158293,121.830535250204
125.203611640994,127.036352298543
111.131057001977,114.031942361536
118.252774087614,120.756799654571
116.147539623439,118.777570789814
130.50126359914,132.200498309453
116.117996868822,118.744885828334
115.872421900982,118.457143213789
117.743929021599,120.113205453488
129.852381495706,131.674187331508
115.100034329887,118.113249729725
126.285630294898,128.172928821745
121.608256763517,123.823347086882
117.772838312763,120.325288451601
112.451212197187,115.336811001857
121.689715577474,123.834281072221
121.840891312215,124.150728214323
122.934096332625,124.873114126605
115.894205826689,118.337471202073
113.864380150207,117.06170596341
114.182918199787,117.460345380056
119.696841837462,121.925104810111
116.381616908897,118.863491385876
118.963316178208,121.212943324611
114.327582764192,116.59507529454
123.604394649575,125.617434605093
113.583259448654,116.463901891455
116.692657479151,118.991612636332
121.961395001658,124.035934932691
116.311166579243,119.327435177613
125.13005584321,127.137833403424
122.729341956626,124.934275457975
118.163148379771,120.402916036829
122.998706094775,125.017028979616
111.478541863025,114.312020617922
122.975079102507,125.157933246018
112.206036147321,115.116983395003
125.733881050947,127.715727498608
118.568612897177,120.956476596825
